userId,movieId,rating,timestamp
23474,8636,2.0,1623093417
327932,480,2.0,975014893
32973,5481,0.5,1057540085
174379,7325,3.5,1081659178
197873,2467,4.5,1206690610
32973,7153,5.0,1082262726
56305,588,4.0,1419044641
303643,8665,4.5,1552078915
268259,2772,5.0,974758533
146353,5618,5.0,1437598925
245182,103335,3.5,1418808730
267357,1228,4.0,1095727603
192763,7254,4.0,1487467882
8204,3635,3.0,1464472640
230346,204686,3.0,1666122330
62659,4022,4.5,1170001018
286631,1580,3.0,974744027
248216,1430,3.5,1113885194
100692,176419,5.0,1666102168
24471,88129,3.5,1497977813
134103,300,4.0,1036789877
89433,5218,4.0,1156957459
259409,1257,4.0,900720597
156759,431,4.0,966694364
206022,500,4.0,837091977
100108,37741,4.0,1145500726
69773,93840,3.0,1504663875
236358,253,3.0,845244353
196794,64839,4.0,1542513978
252744,3247,3.0,1102350330
289287,51709,4.5,1301894271
72341,4002,1.0,1111478314
53858,1662,3.0,994204197
254025,6942,2.5,1228752072
44970,171907,5.0,1558738313
149763,1148,4.0,974759346
191522,2858,4.0,1301584317
216285,671,3.0,864567673
154806,2581,2.0,1286337777
63824,172,4.0,966781319
104282,107406,4.5,1593288624
287013,1261,4.5,1221095717
285135,31878,1.5,1535996985
72181,2959,5.0,1584188848
84798,30749,4.0,1448136051
128192,44191,4.5,1221635791
30878,183421,3.5,1645227363
116686,594,3.0,1293409119
206619,184999,3.5,1532713831
195431,4068,4.0,998608915
89648,5283,3.5,1152721644
217004,79132,4.0,1623629469
228066,1214,4.5,1276126749
273775,6155,4.0,1591258990
195480,1233,4.0,941639450
234176,39,3.5,1153946683
329740,200822,0.5,1674690556
229525,2102,3.0,944948373
209929,2657,4.5,1076952322
91791,8,3.5,1119397025
233499,185,3.0,1132850082
226125,177689,5.0,1588002962
85154,1918,3.0,1201456817
106382,95167,3.5,1529919696
45472,44022,3.5,1421542646
141029,2710,2.5,1508166163
258811,115569,3.0,1510951159
78473,103249,3.5,1489745806
43139,2355,1.0,1051333974
72042,2405,1.0,1592681669
8978,87306,2.0,1535224134
289394,2529,4.5,1607282051
93529,379,2.0,1363926226
210416,99149,2.5,1511726089
77227,2628,3.0,1435860507
213937,2558,2.0,945139027
270877,1131,4.0,1034430725
297073,208,2.0,1235505173
80639,118985,4.0,1434075101
152881,1704,4.0,1151565435
158831,45221,3.5,1477752760
195801,7164,4.0,1234569053
92466,719,2.0,959813837
294191,106438,4.0,1424656706
255193,4973,4.5,1352314592
108726,1173,5.0,1200911889
310433,1046,5.0,1125510003
95221,504,4.0,944907307
66946,7361,3.0,1646335480
319945,350,4.0,1050159576
175706,33679,4.0,1118628716
4187,4701,4.5,1171582414
1109,4123,3.0,1009400174
60752,112175,4.5,1499188558
289042,2959,3.0,1544749723
295694,2871,3.5,1277463878
122132,1466,4.5,1070589901
274514,122892,3.0,1582063954
286323,187501,4.0,1596688099
132965,151,4.0,829445160
97692,111622,3.5,1598656254
81362,2719,3.0,1140999564
219485,249122,5.0,1630184233
93489,7613,3.0,1086590393
33760,7361,4.5,1242617297
285015,1911,3.0,974606797
192751,66097,4.0,1247181816
81866,3703,2.5,1188310103
89751,4369,2.5,1682372688
245501,3448,4.5,1489561434
97300,51662,3.0,1464207728
174307,7236,3.0,1272268298
177954,1089,5.0,989289493
256578,4993,5.0,1527613615
272026,1200,4.0,1005867857
299175,8636,3.5,1237786558
195355,1,4.0,1088229675
299052,1259,4.0,1181343765
328838,82202,4.0,1455398974
298900,2001,4.0,975516014
57843,2683,3.0,1082928782
76431,8781,4.0,1135787596
118754,1894,2.0,1169151086
11720,356,4.0,848767311
138583,1127,5.0,844436722
110139,778,4.0,1165298117
220283,1,4.0,833547834
138159,6944,5.0,1203871865
23426,3704,4.0,1046894923
27788,109487,3.5,1453050328
51667,527,3.0,1139016118
206073,4226,5.0,1353384014
10730,1370,2.0,1651914716
79974,318,3.0,1486703364
76903,39435,3.0,1543142716
236260,2526,2.0,1177556172
305193,4014,3.5,1111811102
316782,1218,4.0,1113948173
37262,2557,4.5,1453417993
100562,2363,2.0,942429703
171985,187595,3.0,1559467798
163362,8376,4.0,1466633387
202925,3552,5.0,1194918158
211734,2858,3.5,1232275848
321608,143355,5.0,1511840255
190785,780,4.0,845042471
46978,68954,3.5,1446488921
183313,1407,4.5,1466293131
322659,3147,4.0,1457209199
298704,2042,2.5,1055103869
38830,60684,2.5,1548426613
70150,3578,3.5,1510829124
83098,79702,4.0,1599520734
94812,79702,4.5,1294014457
222496,588,4.0,1146353765
230959,89745,4.0,1481287249
312097,1215,3.0,1094812515
101840,532,1.0,938661800
276475,2764,4.0,1115927511
226908,161582,3.5,1679055439
36116,1210,4.0,1181853266
161233,6323,5.0,1515143673
72361,2291,4.5,1467677478
235863,7272,1.0,1076352619
272791,300,4.0,944961965
288686,880,1.5,1506998067
275400,2434,4.0,960260750
145226,2115,3.5,1282404678
147885,2710,4.0,944941358
168180,91890,3.5,1514971450
271396,1762,4.0,965157960
226669,8969,4.0,1436385874
2012,48982,3.5,1502351741
226420,1136,4.5,1068826254
28082,541,3.0,1451491342
55682,6863,5.0,1482545387
330686,3981,3.0,1012294686
212858,4034,4.0,1165422470
257659,135569,5.0,1556458692
261244,5574,3.5,1431645067
107985,3030,5.0,1325451315
162544,2808,3.5,1086591031
156012,480,4.5,1464438945
292032,597,3.0,1539899431
5501,150,5.0,1630605363
274349,8622,3.5,1224573823
54763,60072,3.5,1434877923
213024,1586,4.0,891901185
216440,1206,4.0,1208205915
287582,480,4.0,1031744820
137062,2141,5.0,1434765517
64934,912,5.0,1068302851
94997,7254,4.0,1107710866
173090,49272,3.5,1566593348
48309,32,4.0,1120663082
279901,307,5.0,829761911
61312,33615,0.5,1639167150
214235,1665,4.0,1623202073
